huggingface_model_id,benchmark,score
HuggingFaceTB/SmolLM2-1.7B-Instruct,AIME24,0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct,AIME25,0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct,AMC23,15.0
HuggingFaceTB/SmolLM2-1.7B-Instruct,GPQADiamond,29.12
HuggingFaceTB/SmolLM2-1.7B-Instruct,HumanEval,19.92
HuggingFaceTB/SmolLM2-1.7B-Instruct,IFEval,54.43
HuggingFaceTB/SmolLM2-1.7B-Instruct,JEEBench,9.22
HuggingFaceTB/SmolLM2-1.7B-Instruct,LiveCodeBench,5.09
HuggingFaceTB/SmolLM2-1.7B-Instruct,MATH500,17.0
HuggingFaceTB/SmolLM2-1.7B-Instruct,MBPP,39.2
Qwen/Qwen2.5-1.5B,AIME24,0.0
Qwen/Qwen2.5-1.5B,AIME25,0.0
Qwen/Qwen2.5-1.5B,AMC23,0.0
Qwen/Qwen2.5-1.5B,GPQADiamond,7.41
Qwen/Qwen2.5-1.5B,HumanEval,13.83
Qwen/Qwen2.5-1.5B,IFEval,22.7
Qwen/Qwen2.5-1.5B,JEEBench,0.24
Qwen/Qwen2.5-1.5B,LiveCodeBench,0.2
Qwen/Qwen2.5-1.5B,MATH500,1.0
Qwen/Qwen2.5-1.5B,MBPP,0.0
Qwen/Qwen2.5-1.5B-Instruct,AIME24,3.33
Qwen/Qwen2.5-1.5B-Instruct,AIME25,0.0
Qwen/Qwen2.5-1.5B-Instruct,AMC23,30.0
Qwen/Qwen2.5-1.5B-Instruct,GPQADiamond,25.59
Qwen/Qwen2.5-1.5B-Instruct,HumanEval,34.84
Qwen/Qwen2.5-1.5B-Instruct,IFEval,46.32
Qwen/Qwen2.5-1.5B-Instruct,JEEBench,16.7
Qwen/Qwen2.5-1.5B-Instruct,LiveCodeBench,10.57
Qwen/Qwen2.5-1.5B-Instruct,MATH500,46.6
Qwen/Qwen2.5-1.5B-Instruct,MBPP,37.2
